LIBID,ZIP,POPU_LSA,MASTER,LIBRARIA,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,TOTEXPCO,TOTOPEXP,BKVOL,EBOOK,AUDIO_PH,VIDEO_PH,HRS_OPEN,VISITS,ELMATCIR,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN,YEAR
KS0265,66963,64,0,0.25,0.25,4100,5021,43,0,9164,1900,8718,2666,130307,14,347,610,751,0,19,15,4,31,29,2,2015
KS0291,67664,131,0,0.18,0.18,3365,4524,0,1403,9292,950,7463,4180,130307,53,26,550,1560,30,33,27,6,269,239,30,2015
KS0094,66942,92,0,0.25,0.25,4200,5353,0,500,10053,1037,8377,4459,130307,0,221,520,2142,0,83,33,0,765,185,0,2015
KS0194,67647,131,0,0.18,0.25,1208,4603,0,2300,8111,1300,7680,3558,130307,46,180,520,624,104,22,22,0,465,465,0,2015
KS0264,66964,112,0,0.25,0.25,6360,3912,267,2775,13314,727,9100,3434,130307,51,490,520,834,6,30,16,8,182,165,77,2015
KS0104,67638,111,0,0,0,1507,37,0,0,1544,363,1406,6947,130307,9,0,312,295,0,0,0,0,0,0,0,2015
KS0208,67556,260,0,0.43,0.43,6871,6097,0,1010,13978,1635,12752,10819,130307,100,250,884,4710,88,13,12,0,23,12,0,2015
KS0168,67644,164,0,0.68,0.98,2685,4769,0,425,7879,1336,4864,6848,130307,76,355,1404,1400,189,67,41,0,196,191,0,2015
KS0023,67520,247,0,0.38,0.38,4342,4260,0,1852,10454,1557,12604,4267,130307,65,388,780,1373,13,6,6,0,77,77,0,2015
KS0035,66936,354,0,0.38,0.43,14863,7270,0,0,22133,501,12011,10692,130307,235,639,884,1511,0,12,10,2,48,44,4,2015
KS0247,67657,282,0,0.3,0.38,6238,4897,0,4897,16032,437,8711,3661,130307,1282,84,780,428,2,15,12,0,133,95,0,2015
KS0292,67481,268,0,0.38,0.38,8575,5258,0,897,14730,1774,12827,7355,130307,92,897,780,3090,82,62,50,7,658,583,27,2015
KS0089,67621,255,0,0.35,0.35,4090,5598,0,1685,11373,1698,9126,4363,130307,87,531,728,2850,14,76,74,0,236,211,0,2015
KS0174,66952,212,0,0.43,0.57,8050,5081,0,12545,25676,3458,26333,7836,130307,35,625,750,2532,0,14,7,3,412,183,103,2015
KS0064,66939,277,0,0.25,0.25,5872,5399,0,2500,13771,1911,8870,5696,130307,0,307,520,2153,4,77,58,0,904,346,0,2015
KS0151,66948,283,0,0.25,0.25,4005,3192,303,700,8200,2318,9918,6751,130307,0,336,520,950,183,26,14,2,187,85,6,2015
KS0120,67448,395,0,0.38,0.38,6862,5437,0,438,12737,463,11232,6008,130309,52,290,780,1710,266,50,38,0,595,423,8,2015
KS0243,67565,274,0,0.4,0.4,9325,6313,271,913,16822,1791,13898,5869,130307,179,802,826,1452,162,26,26,0,478,437,0,2015
KS0273,66966,359,0.39,0.85,0.89,17100,5184,0,729,23013,1745,18914,11599,130307,260,482,1092,4629,29,32,18,9,326,130,43,2015
KS0195,67648,393,0,0.43,0.48,9740,5241,0,3193,18174,1557,15930,5719,130307,197,612,988,3927,188,61,16,0,359,132,0,2015
KS0108,67446,435,0,0.4,0.4,8483,7463,0,6437,22383,4176,24065,4734,130307,34,377,832,2885,17,35,10,21,619,273,231,2015
KS0155,66949,424,0,0.5,0.5,13890,5252,0,553,19695,2501,19695,10025,130307,36,547,1040,3638,6,37,29,0,232,129,0,2015
KS0067,67436,351,0,0.4,0.4,11048,5247,0,4326,20621,5855,19335,10736,130307,126,703,832,1820,19,63,30,18,463,316,42,2015
KS0163,66951,461,0,1,1.23,6332,8822,200,11919,27273,3722,30870,10644,130544,130,305,2216,7184,125,184,175,9,2467,2404,63,2015
KS0107,67445,487,0,0.4,0.4,12500,5974,0,1500,19974,3013,12434,9375,130307,325,260,832,3024,6,27,27,0,83,83,0,2015
KS0136,67430,456,0,0.48,0.48,12038,5470,0,3211,20719,3654,15297,7910,130307,143,206,988,3120,10,41,36,0,199,94,0,2015
KS0160,67454,479,0,0.4,0.4,8208,5760,0,0,13968,2588,11415,4578,130307,20,100,832,1156,0,1,1,0,23,23,0,2015
KS0193,67646,569,0,0.4,0.48,13363,5958,0,0,19321,1670,18599,6139,130307,276,318,832,3849,306,46,13,6,424,194,45,2015
KS0266,66938,703,0,0.73,0.81,20480,6589,0,1300,28369,3855,29887,13366,130307,118,487,1300,6785,189,53,43,7,1040,724,173,2015
KS0171,67490,766,0,0.68,0.68,15600,5833,0,1000,22433,1440,28271,4009,130307,34,274,1404,3324,26,49,42,7,412,400,12,2015
KS0147,67525,750,0,0.48,0.56,29576,5196,250,2117,37139,3247,36624,12829,130307,125,570,988,1500,0,52,32,0,543,303,0,2015
KS0201,66956,858,0,0.95,0.95,14450,8615,0,2500,25565,1406,26565,10652,130307,84,455,1976,7373,459,81,20,56,1127,155,522,2015
KS0073,67437,873,0,0.75,0.75,25666,8104,0,2976,36746,8208,33695,14016,130307,184,1174,1560,6542,206,37,20,15,917,797,40,2015
KS0187,67455,1266,0,1.31,1.51,37245,8285,205,7487,53222,6545,61914,10742,130307,103,1020,2028,13572,602,95,77,15,3024,2789,179,2015
KS0016,67548,1393,0,1.58,1.58,51699,11936,0,1962,65597,7398,51961,14820,130307,447,922,1794,12960,90,34,27,7,508,448,33,2015
KS0289,67669,1315,0,1.45,1.7,60049,9056,0,25907,95012,11128,81752,17203,130307,209,661,2288,17707,122,138,127,0,2880,2782,20,2015
KS0240,67473,1396,0,1.71,2.06,73269,12587,0,9489,95345,15894,89838,17760,130307,433,1294,2236,17030,869,103,86,14,3410,3058,242,2015
KS0215,67467,2029,0,1.63,1.72,52754,9723,145,4344,66966,9631,64970,20865,130307,137,1404,2392,16944,390,89,68,0,1501,1249,0,2015
KS0281,66967,1641,0,1.93,1.93,68644,10485,0,7546,86675,6324,68921,14078,130307,435,579,2132,10850,279,38,26,2,1510,1031,37,2015
KS0080,67637,2074,0,1,1.15,72600,7864,0,8314,88778,13523,75369,17265,130307,175,431,2080,7448,439,105,57,0,1888,1600,0,2015
KS0256,67663,1889,0,1.88,2.41,110843,9471,0,7440,127754,9617,122527,16758,130307,362,1014,2522,17423,904,197,116,3,2965,2321,23,2015
KS0150,67439,3076,0,1,2.9,130887,11388,250,3009,145534,16492,131948,23603,130307,532,1134,2288,20644,403,104,63,36,2314,948,61,2015
KS0079,67526,2098,1,3.28,3.28,16530,11334,121,5764,33749,11774,38322,27658,130307,1033,1172,2840,25948,375,112,79,13,8179,3519,766,2015
KS0021,66935,1917,0.75,3.1,3.33,143231,9897,0,38578,191706,20834,192679,20120,130307,1471,2630,2496,25191,1841,150,119,9,2775,2413,96,2015
KS0252,67661,2556,0,2.38,2.38,92815,11618,0,16819,121252,13710,98515,25906,130307,725,848,2392,21914,485,302,294,0,413,401,0,2015
KS0139,67544,2664,0,2.13,2.13,88440,14700,0,3000,106140,16945,88609,17223,130307,288,263,1976,10562,356,62,58,1,531,499,2,2015
KS0257,67420,3792,1,3.53,3.91,198753,13798,262,4172,216985,24354,161740,28772,130307,882,1377,2288,16712,687,157,146,11,822,781,41,2015
KS0270,67665,4484,0,1,2.9,152906,13098,177,14036,180217,20939,171406,22557,130307,751,792,2288,25000,1552,261,129,40,3164,1999,321,2015
KS0097,66901,5311,1.38,2.58,4.01,202273,19922,110,4319,226624,29864,214229,39998,130307,683,3149,3022,35725,1631,225,154,11,6585,5784,131,2015
KS0158,67550,6916,0,4.13,4.51,206542,2934,0,5929,215405,39475,208423,43232,130307,701,951,2600,31164,662,225,162,10,1574,890,60,2015
KS0117,67530,15840,1.25,1.25,11.6,644000,24127,302,23193,691622,22765,691622,65758,130307,1575,4350,3004,145000,4008,599,415,111,28639,24767,1746,2015
KS0131,67601,21044,4,22.13,23.88,1406200,30368,0,79169,1515737,208221,1228199,140065,130441,12167,16380,3380,160609,74389,1362,691,375,28156,17106,6156,2015
